,id,title,original_language,release_date,release_mon,release_month,release_year,vote_average,popularity,adult
14649,24106,The Black Cat,en,5/7/34,5,May,1934,6.8,6.68,FALSE
1298,3529,The Thin Man,en,5/25/34,5,May,1934,7.5,9.157,FALSE
11298,3529,The Thin Man,en,5/25/34,5,May,1934,7.5,9.157,FALSE
6531,8208,The Man Who Knew Too Much,en,12/1/34,12,December,1934,6.4,12.077,FALSE
16531,8208,The Man Who Knew Too Much,en,12/1/34,12,December,1934,6.4,12.077,FALSE
1193,229,The Bride of Frankenstein,en,4/20/35,4,April,1935,7.6,19.195,FALSE
11193,229,The Bride of Frankenstein,en,4/20/35,4,April,1935,7.6,19.195,FALSE
1863,260,The 39 Steps,en,6/6/35,6,June,1935,7.4,9.761,FALSE
11863,260,The 39 Steps,en,6/6/35,6,June,1935,7.4,9.761,FALSE
2135,3080,Top Hat,en,8/29/35,8,August,1935,7.3,11.147,FALSE
12135,3080,Top Hat,en,8/29/35,8,August,1935,7.3,11.147,FALSE
1560,37719,A Night at the Opera,en,11/15/35,11,November,1935,7.5,13.282,FALSE
11560,37719,A Night at the Opera,en,11/15/35,11,November,1935,7.5,13.282,FALSE
1980,12311,Mutiny on the Bounty,en,11/22/35,11,November,1935,7.4,14.425,FALSE
11980,12311,Mutiny on the Bounty,en,11/22/35,11,November,1935,7.4,14.425,FALSE
72,3082,Modern Times,en,2/5/36,2,February,1936,8.3,19.701,FALSE
10072,3082,Modern Times,en,2/5/36,2,February,1936,8.3,19.701,FALSE
1333,24807,Mr. Deeds Goes to Town,en,4/9/36,4,April,1936,7.5,12.142,FALSE
11333,24807,Mr. Deeds Goes to Town,en,4/9/36,4,April,1936,7.5,12.142,FALSE
1205,13562,My Man Godfrey,en,9/2/36,9,September,1936,7.6,9.061,FALSE
11205,13562,My Man Godfrey,en,9/2/36,9,September,1936,7.6,9.061,FALSE
5024,12684,Sabotage,en,1/8/37,1,January,1937,6.7,7.809,FALSE
15024,12684,Sabotage,en,1/8/37,1,January,1937,6.7,7.809,FALSE
553,777,Grand Illusion,fr,6/4/37,6,June,1937,7.9,12.231,FALSE
10553,777,Grand Illusion,fr,6/4/37,6,June,1937,7.9,12.231,FALSE
