zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
31702,230,Albany Utility Board,GA,Bundled,Municipal,0.101477259,0,0.116121317
31703,230,Albany Utility Board,GA,Bundled,Municipal,0.101477259,0,0.116121317
31706,230,Albany Utility Board,GA,Bundled,Municipal,0.101477259,0,0.116121317
28001,232,City of Albemarle - (NC),NC,Bundled,Municipal,0.105935241,0.085911722,0.126140817
28002,232,City of Albemarle - (NC),NC,Bundled,Municipal,0.105935241,0.085911722,0.126140817
27979,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27919,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27974,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27917,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27985,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27958,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27926,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27939,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27921,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27932,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27929,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27923,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27909,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27980,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27946,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27916,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27965,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27976,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27947,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27944,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27973,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
27956,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.118552173,0.083892041,0.137486224
35950,241,Albertville Municipal Utilities Board,AL,Bundled,Municipal,0.10024743,0.054985452,0.096251939
35957,241,Albertville Municipal Utilities Board,AL,Bundled,Municipal,0.10024743,0.054985452,0.096251939
35951,241,Albertville Municipal Utilities Board,AL,Bundled,Municipal,0.10024743,0.054985452,0.096251939
38663,276,Alcorn County Elec Power Assn,MS,Bundled,Cooperative,0.121581057,0.04774076,0.113557825
38834,276,Alcorn County Elec Power Assn,MS,Bundled,Cooperative,0.121581057,0.04774076,0.113557825
38833,276,Alcorn County Elec Power Assn,MS,Bundled,Cooperative,0.121581057,0.04774076,0.113557825
38835,276,Alcorn County Elec Power Assn,MS,Bundled,Cooperative,0.121581057,0.04774076,0.113557825
38829,276,Alcorn County Elec Power Assn,MS,Bundled,Cooperative,0.121581057,0.04774076,0.113557825
38865,276,Alcorn County Elec Power Assn,MS,Bundled,Cooperative,0.121581057,0.04774076,0.113557825
38846,276,Alcorn County Elec Power Assn,MS,Bundled,Cooperative,0.121581057,0.04774076,0.113557825
38683,276,Alcorn County Elec Power Assn,MS,Bundled,Cooperative,0.121581057,0.04774076,0.113557825
38852,276,Alcorn County Elec Power Assn,MS,Bundled,Cooperative,0.121581057,0.04774076,0.113557825
38674,276,Alcorn County Elec Power Assn,MS,Bundled,Cooperative,0.121581057,0.04774076,0.113557825
56308,295,City of Alexandria - (MN),MN,Bundled,Municipal,0.106126629,0.081159802,0.103971767
